,title,path,style,genres
95,Farsight   Leg Shake,Farsight - Leg Shake.mp3,"['Tribal', 'Breaks', 'Techno']",['Electronic']
96,memotone   Memotone LP,memotone - Memotone LP,"['Ambient', 'Drone']",['Electronic']
97,Rainforest Spiritual Enslavement   Green Graves,Rainforest Spiritual Enslavement - Green Graves,"['Industrial', 'Dark Ambient', 'Noise', 'Abstract', 'Field Recording']",['Electronic']
99,Lurka   Full Clip   BR Greaze,Lurka - Full Clip - BR Greaze,"['Bass Music', 'Dubstep', 'Dancehall', 'Halftime']",['Electronic']
100,Agrippa   Mygraine Urgraine   Harbour Run,Agrippa - Mygraine Urgraine - Harbour Run,"['Grime', 'Leftfield', 'Techno']",['Electronic']
101,XXIII   XXIII   150,XXIII - XXIII - 150,"['Alternative Rock', 'Psychedelic Rock', 'Lo-Fi', 'Experimental', 'Trip Hop']","['Electronic', 'Rock']"
102,Yak   Umbra   Kaepora,Yak - Umbra - Kaepora,['Dubstep'],['Electronic']
103,Chris Moss Acid   Lill Chill,Chris Moss Acid - Lill Chill,"['Acid', 'Breaks', 'Techno', 'House']",['Electronic']
104,Lurka   Ritual Dingers   Choke,Lurka - Ritual Dingers - Choke,"['Dubstep', 'Electro', 'Techno']",['Electronic']
105,Two Shell   Access,Two Shell - Access,['Techno'],['Electronic']
106,Bad Tracking   Widower EP,Bad Tracking - Widower EP,"['Industrial', 'Experimental', 'Noise', 'Dub', 'Power Electronics', 'Rhythmic Noise']",['Electronic']
107,Randomer   Hodge   Second Freeze   Simple As,Randomer & Hodge - Second Freeze - Simple As,"['Techno', 'Tribal']",['Electronic']
108,Keepsakes   Ever So Merry LP,Keepsakes - Ever So Merry LP,['Techno'],['Electronic']
109,Aldrich   Ravaged Minds,Aldrich - Ravaged Minds,"['Ambient', 'Breaks', 'Downtempo']",['Electronic']
110,Front de Cadeaux   SUPREME RALLENTATO VOLUME 4,Front de Cadeaux - SUPREME RALLENTATO VOLUME 4,"['House', 'Tech House', 'Dub']",['Electronic']
111,Pessimist   Holsten   The Riot Tune,Pessimist & Holsten - The Riot Tune,"['Drum n Bass', 'Techno']",['Electronic']
112,Rachael   Rachael   Okada,Rachael - Rachael - Okada,"['Grime', 'House', 'Jungle']",['Electronic']
113,Sam Binga  Marcus Visionary   Sam Binga   Marcus Visionary   Doubles EP,Sam Binga- Marcus Visionary - Sam Binga & Marcus Visionary - Doubles EP,['UK Funky'],['Electronic']
114,Susobrino   LA HOJA DE EUCALIPTO,Susobrino - LA HOJA DE EUCALIPTO,"['Downtempo', 'Experimental', 'Juke']","['Electronic', 'Latin', 'Folk, World, & Country']"
115,SPIRINET   MY KISS,SPIRINET - MY KISS,['Experimental'],"['Electronic', 'Hip Hop', 'Non-Music']"
116,DJ NIGGA FOX   O Meu Estilo EP,DJ NIGGA FOX - O Meu Estilo EP,"['House', 'African', 'Kuduro']","['Electronic', 'Folk, World, & Country']"
117,Various Artists   Music For Balconies 1,Various Artists - Music For Balconies 1,['Indie Rock'],"['Electronic', 'Rock']"
118,Henry Greenleaf   Rush EP,Henry Greenleaf - Rush EP,"['Electro', 'Bassline']",['Electronic']
119,FLmm   Verluste EP,FLmm - Verluste EP,"['Industrial', 'Techno']",['Electronic']
120,Yabby You   King Tubby   Walls of Jerusalem,Yabby You & King Tubby - Walls of Jerusalem,"['Roots Reggae', 'Dub']",['Reggae']
121,Ssiege   Beautiful Age,Ssiege - Beautiful Age,['Ambient'],['Electronic']
122,Somah Dark Arts,Somah-Dark_Arts,['Dubstep'],['Electronic']
123,Strange Audio Dreams   Error Design,Strange Audio Dreams - Error Design,"['Breaks', 'Ambient', 'Techno']",['Electronic']
124,memotone   SHIRO,memotone - SHIRO,"['Ambient', 'Drone', 'Classical']","['Electronic', 'Non-Music', 'Classical', 'Folk, World, & Country']"
125,Clouds   EDLX.046 Timeslip Roadmender EP,Clouds - EDLX.046 Timeslip Roadmender EP,['Techno'],['Electronic']
126,Dj Normal 4   Vivid,Dj Normal 4 - Vivid,"['Breakbeat', 'House', 'Electro']",['Electronic']
127,Thomas P Heckmann   Acid Seduction 2,Thomas P Heckmann - Acid_Seduction 2,"['Acid', 'Acid House']",['Electronic']
128,Matteo Coffetti   HypnotechoO,Matteo Coffetti - Hypnotecho'O,"['Techno', 'Downtempo', 'Tribal', 'House']",['Electronic']
129,Kowton   Utility,Kowton - Utility,['Techno'],['Electronic']
130,Pearson Sound   Pearls,Pearson Sound - Pearls.mp3,"['Blues Rock', 'Classic Rock', 'Psychedelic Rock']","['Rock', 'Blues']"
131,Warehouse Rave   Soul Mass Transit System   Dont Hold Back EP,Warehouse Rave - Soul Mass Transit System - Don't Hold Back EP,"['UK Garage', 'Speed Garage', 'Bassline']",['Electronic']
134,Berceuse Heroique   BH 071 Duckett   Emperors New Clothes Part Two,Berceuse Heroique - BH 071 Duckett - Emperor's New Clothes Part Two,"['Abstract', 'Experimental']",['Electronic']
136,Loefah   midnight,Loefah - midnight.mp3,['Dubstep'],['Electronic']
137,Loefah   Root,Loefah - Root.mp3,['Dubstep'],['Electronic']
138,John T. Gast   5GTOUR,John T. Gast - 5GTOUR,"['Dub', 'Techno', 'Experimental', 'Grime']",['Electronic']
140,Devi Tensione   Tanto Tempo,Devi Tensione - Tanto Tempo,"['Hyperpop', 'Leftfield']","['Electronic', 'Pop']"
141,Batu   SYX,Batu - SYX.mp3,"['Techno', 'Dubstep']",['Electronic']
142,Radial   Inverso Mundi EP,Radial - Inverso Mundi EP,['Techno'],['Electronic']
143,Parris   Burr   Blue,Parris - Burr - Blue,['Techno'],['Electronic']
144,Big Hands   Lakamha,Big Hands - Lakamha,"['Illbient', 'Leftfield', 'Techno']",['Electronic']
145,Pangaea   Wont Hurt,Pangaea - Won't Hurt.mp3,"['Bass Music', 'Dubstep']",['Electronic']
147,Senyawa   Menuju Muara ,Senyawa - Menuju Muara (fatalism Remix).mp3,['Abstract'],['Rock']
