Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
DPL004,Hodge (3),Dusted,Deadplate Records,"12"", EP",,2012,4019634,Early,2019-05-01 21:57:18,Mint (M),Very Good (VG),
DEATH057,Various,"I Had The Craziest Dream: Modern Jazz And Hard​​-​​Bop In Post War London, Vol. 2",Death Is Not The End,"Cass, Album, Comp",,2022,23225954,Uncategorized,2022-10-10 10:41:34,,,
none,No Artist,"London Pirate Radio Adverts, 1984-1993",Death Is Not The End,"Cass, Comp",,2020,17662033,Uncategorized,2022-03-04 10:44:21,,,
MEDI 117V,Kahn (5),Dread: Dubkasm Versions,Deep Medi Musik,"12"", EP, Ltd, W/Lbl",,2020,14770070,Uncategorized,2020-05-13 15:54:12,Near Mint (NM or M-),,
medi-64,Kahn (5),Dread / Late Night Blues,Deep Medi Musik,"12"", RE, RP",,2022,24451526,Uncategorized,2022-10-10 10:35:22,,,
medi-82,Commodo,Shift,Deep Medi Musik,"12""",,2014,6279520,Classics,2019-05-02 20:16:03,Mint (M),Generic,
"DFA 22501, 50999 309903 2 6",LCD Soundsystem,This Is Happening,"DFA, Parlophone","CD, Album, Dig",,2010,2276332,Uncategorized,2022-03-04 15:08:45,,,
GED 24297 DGCD 24297,Sonic Youth,Goo,DGC,"CD, Album",,0,8335324,Uncategorized,2022-03-04 11:51:49,,,
0602527813936,Blink-182,Neighborhoods,"DGC Records, Interscope Records","CD, Album",,2011,5098027,Uncategorized,2022-03-04 23:23:40,,,
0602537502950,Nirvana,In Utero,"DGC, Universal Music Group","CD, Album, RE, RM",,2013,5012299,Uncategorized,2022-03-04 15:21:57,,,
8602527779089,Nirvana,Nevermind,"DGC, Universal Music Group International, Sub Pop","CD, Album, RE, RM",,2019,15180958,Uncategorized,2022-03-04 14:56:32,,,
DIFF005,Various,Weightless Volume 2,Different Circles,"12"", EP",,2017,9730196,Picks,2019-05-02 20:08:53,Mint (M),Generic,
DTR7003,Jah Warrior,Babylon Shall Fall,Digital Traders Records,"7"", RE,  ",,2015,7395512,Uncategorized,2020-10-21 22:10:04,,,
DISK 014 ,Bambounou,Parametr Perkusja Ep ,Disk (5),"12"", EP",,2018,12078342,Picks,2019-05-01 21:29:16,Mint (M),Mint (M),
dmz 030,Digital Mystikz,2 Much Chat / Coral Reef,DMZ,"12"", 180",,2013,5181355,Uncategorized,2020-02-15 21:44:00,Near Mint (NM or M-),,
399YTIVIL,Hodge (3) / Bruce (40),Amor Fati (Peverelist Remix) / Tilikum (Hodge Remix),Dnuos Ytivil,"12"", EP",,2015,7497082,Early,2019-05-01 21:59:28,Mint (M),Generic,
799YTIVIL,Batu (4),Spooked / Clarity (Dismantled),Dnuos Ytivil,"12""",,2013,5145194,Early,2019-05-02 20:12:33,Mint (M),Generic,
989YTIVIL,Via Maris,Swarm ,Dnuos Ytivil,"12""",,2017,9773447,Sell,2019-05-01 22:11:49,Mint (M),Mint (M),
DYHP004,Sunun + Jiinx,Ember,do you have peace?,"Cass, Mixtape",,2021,17686267,Uncategorized,2022-03-04 11:04:57,,,
DYHP008,"Intel Mercenary, Wilted Woman",IMWW,do you have peace?,Cass,,2022,23831498,Uncategorized,2022-08-23 08:52:07,,,
DEX004,Grim Lusk,SUNP0101 ,Domestic Exile,"12""",,2018,12327601,Various,2019-05-15 09:17:51,Mint (M),Mint (M),
DNAM 1,Ugandan Methods / Prurient,Dial B For Beauty,Downwards,"12"", Ltd, Blu",,2014,6146883,Uncategorized,2021-06-28 07:11:43,,,
DNLP50,NONEXISTENT (2),NONEXISTENT,Downwards,"LP, Album",,2021,20952202,Uncategorized,2022-02-18 09:49:48,,,
DUNNO004,Lutto Lento,My Number One High / Take Me Down The Dunes,DUNNO Recordings,"7"", Single",,2016,8670871,Uncategorized,2022-08-23 08:46:13,,,
DURK014,Otik,Acne Downs,Durkle Disco,"12"", EP",,2016,9791746,Sell,2019-05-01 22:00:59,Mint (M),Generic,
ELP44,Serpente (3),Parada,Ecstatic,"LP, Num",,2019,13816951,Uncategorized,2020-02-15 21:43:06,Mint (M),,
GRVTS016,King Doudou,Yin-Yang Street Mix,Editions Gravats,"Cass, Comp, Mixed, Mixtape",,2020,14767283,Uncategorized,2020-07-23 16:01:14,Mint (M),Mint (M),
GRVTSBZH4,DJ Fusiller,Sacrilège Vénération Vol. 1,Editions Gravats,"Cass, Mixed, Mixtape",,2020,15530788,Uncategorized,2020-09-20 16:06:42,,,
7559-60669-2,The Stooges,Fun House,Elektra,"CD, Album, RE, RP",,0,7387113,Uncategorized,2022-03-04 15:02:05,,,
"CDFLOOR26, 0094635303520",Placebo,Meds,"Elevator Music (4), Virgin","CD, Album, RP",,2008,648496,Uncategorized,2022-03-04 14:42:17,,,
